тиит<NOUN><Number=Sing><Number[psor]=Sing><Person[psor]=3><Case=Nom>	тиитэ
тиит<NOUN><Number=Sing><Number[psor]=Sing><Person[psor]=3><Case=Ins>	тииттинэн
тиит<NOUN><Number=Sing><Number[psor]=Sing><Person[psor]=3><Case=Dat>	тииттигэр
тиит<NOUN><Number=Sing><Number[psor]=Sing><Person[psor]=3><Case=Acc>	тиитин
тиит<NOUN><Number=Sing><Number[psor]=Sing><Person[psor]=2><Case=Nom>	тиитиҥ
тиит<NOUN><Number=Sing><Number[psor]=Sing><Person[psor]=1><Case=Nom>	тиитим
тиит<NOUN><Number=Sing><Case=Nom>	тиит
тиит<NOUN><Number=Sing><Case=Acc>	тиити
тиит<NOUN><Number=Sing><Case=Ins>	тиитинэн
тиит<NOUN><Number=Plur><Number[psor]=Plur><Person[psor]=2><Case=Nom>	тииттэргит
тиит<NOUN><Number=Plur><Number[psor]=Plur><Person[psor]=1><Case=Nom>	тииттэрбит
тиит<NOUN><Number=Plur><Case=Com>	тииттэрдиин
тиит<NOUN><Number=Plur><Int=Yes><Case=Nom>	тииттэрий
тиит<NOUN><Number=Plur><Case=Abl>	тииттэртан
тиит<NOUN><Number=Plur><Case=Dat><Nomzr=Action>	тииттэрыахха
тиит<NOUN><Number=Plur><Number[psor]=Plur><Person[psor]=3><Case=Acc>	тииттэрлэрин
тиит<NOUN><Number=Plur><Number[psor]=Plur><Person[psor]=3><Case=Nom>	тииттэрлэрэ
тиит<NOUN><Number=Plur><Number[psor]=Sing><Person[psor]=3><Case=Nom>	тииттэрэ
тиит<NOUN><Number=Plur><Number[psor]=Sing><Person[psor]=3><Case=Ins>	тииттэртинэн
тиит<NOUN><Number=Plur><Number[psor]=Sing><Person[psor]=3><Case=Dat>	тииттэртигэр
тиит<NOUN><Number=Plur><Number[psor]=Sing><Person[psor]=3><Case=Acc>	тииттэрин
тиит<NOUN><Number=Plur><Number[psor]=Sing><Person[psor]=2><Case=Nom>	тииттэриҥ
тиит<NOUN><Number=Plur><Number[psor]=Sing><Person[psor]=1><Case=Nom>	тииттэрим
тиит<NOUN><Number=Plur><Number[psor]=Sing><Person[psor]=1><Case=Acc>	тииттэрбин
тиит<NOUN><Number=Plur><Case=Nom>	тииттэр
тиит<NOUN><Number=Plur><Case=Acc>	тииттэри
тиит<NOUN><Number=Plur><Case=Cmp>	тииттэрдээҕэр
тиит<NOUN><Number=Plur><Case=Dat>	тииттэргэ
тиит<NOUN><Number=Plur><Case=Par>	тииттэрдэ
тиит<NOUN><Number=Plur><Case=Ins>	тииттэринэн
тиис<NOUN><Number=Sing><Number[psor]=Plur><Person[psor]=2><Case=Nom>	тиискит
тиис<NOUN><Number=Sing><Number[psor]=Plur><Person[psor]=1><Case=Nom>	тииспит
тиис<NOUN><Number=Sing><Case=Com>	тиистиин
тиис<NOUN><Number=Sing><Case=Abl>	тиистан
тиис<NOUN><Number=Sing><Case=Dat><Nomzr=Action>	тиисыахха
тиис<NOUN><Number=Sing><Case=Cmp>	тиистээҕэр
тиис<NOUN><Number=Sing><Case=Par>	тиистэ
тиис<NOUN><Number=Sing><Number[psor]=Plur><Person[psor]=3><Case=Acc>	тиислэрин
тиис<NOUN><Number=Sing><Number[psor]=Plur><Person[psor]=3><Case=Nom>	тиислэрэ
тиис<NOUN><Number=Sing><Number[psor]=Sing><Person[psor]=3><Case=Ins>	тиистинэн
тиис<NOUN><Number=Sing><Number[psor]=Sing><Person[psor]=3><Case=Dat>	тиистигэр
тиис<NOUN><Number=Sing><Number[psor]=Sing><Person[psor]=1><Case=Acc>	тииспин
тиис<NOUN><Number=Sing><Case=Nom>	тиис
тиис<NOUN><Number=Sing><Case=Dat>	тиискэ
